X,Y,Z
-6.4184,-25.9159,-2.8516
-6.347,-25.88,-2.7911
-6.2006,-25.8041,-2.6721
-6.1268,-25.7649,-2.6145
-6.0528,-25.725,-2.5576
-5.9783,-25.6846,-2.5011
-5.9039,-25.6444,-2.4441
-5.8303,-25.6041,-2.3891
-5.6819,-25.5225,-2.2789
-6.5099,-26.0233,-2.9995
-6.4381,-25.9884,-2.9362
-6.3665,-25.9534,-2.8738
-6.2234,-25.8815,-2.7529
-6.076,-25.8043,-2.6355
-6.0019,-25.7648,-2.5781
-5.9274,-25.7247,-2.5212
-5.8542,-25.6851,-2.4656
-5.7809,-25.6456,-2.4094
-5.7072,-25.6059,-2.3533
-5.6325,-25.5648,-2.2982
-6.4562,-26.0635,-3.0262
-6.3858,-26.0297,-2.9634
-6.314,-25.9947,-2.9005
-6.2424,-25.9595,-2.8384
-6.1706,-25.9233,-2.7782
-6.0986,-25.8864,-2.7192
-6.0246,-25.8475,-2.6606
-5.9506,-25.8085,-2.6022
-5.8776,-25.7696,-2.5457
-5.8045,-25.7306,-2.4892
-5.7313,-25.6916,-2.4324
-5.6573,-25.6516,-2.3765
-6.4068,-26.1017,-3.0525
-6.2658,-26.0345,-2.926
-6.1937,-25.9988,-2.8644
-6.1219,-25.9631,-2.8031
-6.0497,-25.9264,-2.7436
-5.9049,-25.8513,-2.627
-5.8319,-25.8128,-2.5698
-5.7585,-25.7736,-2.5133
-5.6853,-25.7349,-2.456
-5.5373,-25.6557,-2.3424
-6.2903,-26.101,-3.0091
-6.1475,-26.032,-2.8836
-6.0753,-25.9963,-2.8222
-6.0033,-25.9604,-2.7613
-5.9305,-25.9227,-2.7029
-5.7849,-25.8474,-2.5862
-5.7113,-25.8082,-2.5296
-5.6381,-25.77,-2.4715
-5.5647,-25.7317,-2.4133
-5.4904,-25.6921,-2.3562
-6.2393,-26.1394,-3.0355
-6.098,-26.0724,-2.9088
-6.0257,-26.0367,-2.8469
-5.9533,-26.0006,-2.7859
-5.8807,-25.9637,-2.7262
-5.7348,-25.8882,-2.6091
-5.6616,-25.8502,-2.5507
-5.5883,-25.8121,-2.4923
-5.5152,-25.7745,-2.4332
-5.4409,-25.7351,-2.3756
-6.1863,-26.1775,-3.0592
-6.0445,-26.1102,-2.9321
-5.9737,-26.0759,-2.8702
-5.9013,-26.0401,-2.8085
-5.8287,-26.0037,-2.7479
-5.756,-25.9669,-2.688
-5.6092,-25.8907,-2.5711
-5.5362,-25.8533,-2.5116
-5.463,-25.8159,-2.452
-5.3889,-25.777,-2.3938
-6.0659,-26.1832,-3.0211
-5.9951,-26.1499,-2.957
-5.924,-26.1153,-2.8952
-5.7789,-26.0437,-2.7715
-5.706,-26.007,-2.7111
-5.6328,-25.9695,-2.6517
-5.5594,-25.9316,-2.5928
-5.4866,-25.895,-2.5322
-5.3409,-25.8201,-2.4146
-6.0201,-26.221,-3.047
-5.9491,-26.1879,-2.9823
-5.878,-26.1537,-2.9198
-5.807,-26.1194,-2.8578
-5.7342,-26.0834,-2.7961
-5.6615,-26.0473,-2.7348
-5.5882,-26.01,-2.675
-5.5149,-25.9727,-2.6152
-5.4419,-25.936,-2.5546
-5.369,-25.8995,-2.4937
-5.2965,-25.8621,-2.4357
-5.9718,-26.2562,-3.0693
-5.9006,-26.2231,-3.0045
-5.8295,-26.1895,-2.9408
-5.7583,-26.1552,-2.8788
-5.6871,-26.1203,-2.8177
-5.6142,-26.0843,-2.7561
-5.541,-26.0476,-2.6955
-5.4677,-26.0106,-2.6352
-5.3952,-25.9751,-2.5733
-5.2497,-25.9015,-2.4539
-5.8526,-26.2646,-3.0343
-5.7815,-26.2312,-2.9702
-5.7105,-26.1976,-2.907
-5.6394,-26.1635,-2.8448
-5.568,-26.1284,-2.7841
-5.3494,-26.0205,-2.5993
-5.2767,-25.9848,-2.5374
-5.2043,-25.9479,-2.4788
-5.7385,-26.2745,-3.0028
-5.6675,-26.2414,-2.9389
-5.5964,-26.2075,-2.8763
-5.5251,-26.1728,-2.815
-5.4538,-26.1381,-2.754
-5.3808,-26.1019,-2.6926
-5.2362,-26.0323,-2.5668
-5.4789,-26.2125,-2.8392
-5.4075,-26.1777,-2.7782
-5.2642,-26.1089,-2.6534
-5.1918,-26.0742,-2.5905
-5.1198,-26.0384,-2.5307
-5.5734,-26.3188,-2.9905
-5.4312,-26.2518,-2.8641
-5.3598,-26.2174,-2.8025
-5.2891,-26.1839,-2.74
-5.2187,-26.1509,-2.677
-5.1477,-26.1168,-2.6154
-5.5276,-26.3506,-3.0092
-5.4568,-26.3182,-2.9442
-5.3856,-26.2847,-2.8811
-5.2431,-26.2168,-2.7565
-5.0297,-26.1149,-2.5706
-5.3463,-26.3149,-2.8996
-5.275,-26.2812,-2.8367
-5.1339,-26.2162,-2.7089
-5.0628,-26.1826,-2.6464
-5.3721,-26.3803,-2.9813
-5.3007,-26.3472,-2.9173
-5.2295,-26.314,-2.8537
-5.1588,-26.2816,-2.7896
-5.0888,-26.2501,-2.7245
-4.9453,-26.1809,-2.6016
-5.3252,-26.4153,-3.0028
-5.254,-26.3825,-2.9383
-5.183,-26.3499,-2.8739
-5.1125,-26.3177,-2.8092
-5.0424,-26.2863,-2.7439
-4.9712,-26.2527,-2.6813
-5.2081,-26.4183,-2.9604
-5.1376,-26.3866,-2.8949
-5.0672,-26.3549,-2.8296
-4.9973,-26.3237,-2.764
-5.0936,-26.4183,-2.9126
-4.9538,-26.3565,-2.7805
-4.8825,-26.3229,-2.7178
-4.8106,-26.2883,-2.6562
-5.1224,-26.4874,-3.0035
-5.052,-26.4562,-2.9372
-4.9121,-26.3943,-2.8049
-4.8412,-26.3614,-2.7414
-4.7694,-26.3269,-2.6797
-4.9424,-26.4655,-2.8989
-4.8725,-26.4346,-2.8329
-4.802,-26.4024,-2.7686
-4.7301,-26.368,-2.7067
-4.976,-26.5346,-2.9949
-4.9062,-26.5042,-2.9278
-4.8365,-26.4738,-2.8611
-4.6943,-26.4077,-2.7342
-4.7978,-26.5109,-2.8873
-4.7272,-26.4787,-2.8227
-4.6558,-26.4451,-2.7598
-4.8262,-26.584,-2.9854
-4.7564,-26.5535,-2.9186
-4.686,-26.5217,-2.8535
-4.6151,-26.489,-2.7897
-4.7088,-26.5944,-2.9453
-4.5675,-26.53,-2.8161
-4.6627,-26.6328,-2.9709
-4.5924,-26.6012,-2.9054
-4.5215,-26.5686,-2.8412
-4.4504,-26.5356,-2.7774
-4.5489,-26.6392,-2.9303
-4.4783,-26.6071,-2.8653
-4.4071,-26.5738,-2.8017
-4.5002,-26.6725,-2.9483
-4.4295,-26.6404,-2.8832
-4.3822,-26.6801,-2.9084
-4.311,-26.6472,-2.8442
-4.2651,-26.686,-2.8694
-4.2157,-26.7269,-2.8957
-3.1651,-27.0095,-2.805
-3.3193,-26.9795,-2.8292
-3.4727,-26.9525,-2.8583
-3.4029,-26.9192,-2.7937
-3.5509,-26.897,-2.8276
-3.4816,-26.864,-2.7632
-3.6882,-26.8748,-2.8548
